Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),heating,cooling,fans,humid
 08/10  07:00:00,16.825,15.96258676,91.75,0.011171097,4.891666667,185.8333333,0,0,0.042857143,0
 08/10  08:00:00,16.8375,16.02244559,92.25,0.01123059,5.1,195.8333333,0,0,0.053646429,0
 08/10  09:00:00,17.675,16.55099897,89.875,0.01153281,4.516666667,217.5,0,0,0.049968902,0
 08/10  10:00:00,18.6375,16.40256556,79.875,0.010936781,4.391666667,224.1666667,0,0.114615944,0.072330144,0
 08/10  11:00:00,19.775,15.67439733,65.625,0.009622693,5.533333333,237.5,0,0.17601109,0.095101648,0
 08/10  12:00:00,19.7375,15.0746704,61.25,0.008917907,5.908333333,232.5,0,0.455688883,0.152908579,0
 08/10  13:00:00,20.0875,15.41797252,62,0.009196022,5.35,214.1666667,0,0.408993416,0.146108653,0
 08/10  14:00:00,19.8125,15.86196316,67,0.009779018,5.1,210,0,0.478128462,0.164508276,0
 08/10  15:00:00,19.275,15.77292455,70,0.009914597,5.1,204.1666667,0,0.690831761,0.208557223,0
 08/10  16:00:00,19.325,15.7299852,69.375,0.009851276,5.45,211.6666667,0,0.530126038,0.177247218,0
 08/10  17:00:00,19.2125,15.66810598,69.625,0.009818182,5.35,214.1666667,0,0.559864115,0.182206232,0
 08/10  18:00:00,18.5375,15.27424446,71.25,0.009639208,4.808333333,210,0,0.585883561,0.183405599,0
 08/10  19:00:00,17.45,14.66714523,74.5,0.009405379,4.016666667,215.8333333,0,0.211505577,0.104337747,0
 08/10  20:00:00,16.5625,14.08647139,76.625,0.00914557,2.725,202.5,0,0.224111205,0.101569981,0
 08/10  21:00:00,15.925,13.72781037,78.875,0.009024745,1.75,184.1666667,0,0.220687276,0.097497345,0
 08/10  22:00:00,15.3875,13.66300425,83.125,0.009185416,1.85,174.1666667,0,0,0.053646429,0
 08/10  23:00:00,14.95,13.93605815,90,0.009666008,2.683333333,164.1666667,0,0.068493111,0.060500294,0
 08/10  24:00:00,15.1125,14.04074557,89.25,0.009727155,2.808333333,160,0,0.047648475,0.054169109,0
 08/11  01:00:00,15.1125,14.17492578,90.75,0.009865408,2.6,165.8333333,0,0.008487667,0.051159528,0
 08/11  02:00:00,14.9375,14.30724157,93.625,0.010096436,2.308333333,152.5,0,0,0.045831353,0
